name,patterns,k,max_abs_nonzero
TM,1,2,0.3359375
TM,1,3,0.3790723299039749
TM,1,4,0.4489639222873314
TM,1,5,0.5157892178065822
TM,1,6,0.5784812036096656
TM,1,7,0.6337805603812409
TM,1,8,0.6795356458404788
RS,11,2,6.123233995736766e-17
RS,11,3,0.3406445889133622
RS,11,4,0.4999755913021799
RS,11,5,0.5950413466665254
RS,11,6,0.6614493650419151
RS,11,7,0.7119787271019609
RS,11,8,0.752138322073187
RS*TM,11 1,2,0.0023193359375
RS*TM,11 1,3,0.24998692388908306
RS*TM,11 1,4,0.3726688986656968
RS*TM,11 1,5,0.44242836675078817
RS*TM,11 1,6,0.49093031783286495
RS*TM,11 1,7,0.5295142774188436
RS*TM,11 1,8,0.5624786310619155
"A_{1,101,111}",1 101 111,2,0.0013427734375
"A_{1,101,111}",1 101 111,3,0.2465826657730852
"A_{1,101,111}",1 101 111,4,0.35834980980378517
"A_{1,101,111}",1 101 111,5,0.4244310652597514
"A_{1,101,111}",1 101 111,6,0.4719096979432464
"A_{1,101,111}",1 101 111,7,0.5103540683692073
"A_{1,101,111}",1 101 111,8,0.5441755473697193
"{101,111}",101 111,2,6.123233995736766e-17
"{101,111}",101 111,3,0.29603124854668594
"{101,111}",101 111,4,0.4809734515954897
"{101,111}",101 111,5,0.5975368644747204
"{101,111}",101 111,6,0.6761424334246692
"{101,111}",101 111,7,0.7322598775631234
"{101,111}",101 111,8,0.7745945634535069
{01},01,2,0.0023193359375
{01},01,3,0.25009155832026475
{01},01,4,0.5000610388810856
{01},01,5,0.6545506740171345
{01},01,6,0.7500305194406942
{01},01,7,0.8117678826907102
{01},01,8,0.8535712684677379
{10},10,2,0.0023193359375
{10},10,3,0.2500228871359518
{10},10,4,0.5000152585562389
{10},10,5,0.6545190406664798
{10},10,6,0.7500076293557265
{10},10,7,0.8117506459987299
{10},10,8,0.853557859777417
"{01,10,11}",01 10 11,2,6.123233995736766e-17
"{01,10,11}",01 10 11,3,0.34073096145212367
"{01,10,11}",01 10 11,4,0.5000488287209882
"{01,10,11}",01 10 11,5,0.5950612868492495
"{01,10,11}",01 10 11,6,0.661483967214278
"{01,10,11}",01 10 11,7,0.7118833202745674
"{01,10,11}",01 10 11,8,0.7521219052825737
A_3,101 111,2,6.123233995736766e-17
A_3,101 111,3,0.29603124854668594
A_3,101 111,4,0.4809734515954897
A_3,101 111,5,0.5975368644747204
A_3,101 111,6,0.6761424334246692
A_3,101 111,7,0.7322598775631234
A_3,101 111,8,0.7745945634535069
A_4,1001 1011 1101 1111,2,6.123233995736766e-17
A_4,1001 1011 1101 1111,3,0.28868190737623856
A_4,1001 1011 1101 1111,4,0.4650111818507333
A_4,1001 1011 1101 1111,5,0.5835079824458344
A_4,1001 1011 1101 1111,6,0.6699980561785113
A_4,1001 1011 1101 1111,7,0.7319327297102531
A_4,1001 1011 1101 1111,8,0.7780107292831732
A_5,10001 10011 10101 10111 11001 11011 11101 11111,2,6.123233995736766e-17
A_5,10001 10011 10101 10111 11001 11011 11101 11111,3,0.29078398196429783
A_5,10001 10011 10101 10111 11001 11011 11101 11111,4,0.47145722950283436
A_5,10001 10011 10101 10111 11001 11011 11101 11111,5,0.5831713542692124
A_5,10001 10011 10101 10111 11001 11011 11101 11111,6,0.6660876221210497
A_5,10001 10011 10101 10111 11001 11011 11101 11111,7,0.7276034914026701
A_5,10001 10011 10101 10111 11001 11011 11101 11111,8,0.7762009821050325
